Master Catalog,Identifier,Parent Identifier,Name US,URL keyword,Page title,Meta description,Facet Management,STORE,Short Description,Published
FALSE,4-Way2-3-Position,General-Service-Valves,4-Way / 2 &amp; 3-Position,4-way-2-3-position,Products -  4-Way / 2 &amp; 3-Position Valves | Emerson,Browse 4-Way / 2 &amp; 3-Position Valves ,Manufacturer|EMR Actuation|EMR Body Material|EMR Valve Function|EMR Media|EMR Pipe Port Size|EMR Flow Range Cv|EMR Max Operating Pressure Range|EMR Voltage|EMR Frequency|EMR Certifications|EMR Application|EMR Industry,EMR,,TRUE
FALSE,6-8-HP,Commercial-Single-Stage-Compressors,6-8 HP,6-8-hp,,,EMR EER|EMR Application|EMR Refrigerant Type|EMR Capacity Range|EMR Hertz|EMR Voltage|EMR Platform|Manufacturer|EMR Industry|EMR Tandem Ready|EMR Sight Glass,CLIMATE,,TRUE
FALSE,9-10-HP,Commercial-Single-Stage-Compressors,9-10 HP,9-10-hp,,,EMR EER|EMR Application|EMR Refrigerant Type|EMR Capacity Range|EMR Hertz|EMR Voltage|EMR Platform|Manufacturer|EMR Industry|EMR Tandem Ready|EMR Sight Glass,CLIMATE,,TRUE
FALSE,AC-Accumulators,AC-Filter-Driers-and-System-Protectors,Accumulators,ac-accumulators,Air Conditioning Accumulators,,,CLIMATE,,TRUE
FALSE,AC-Bi-Flow,AC-Filter-Driers-and-System-Protectors,Bi-Flow,ac-bi-flow,,,EMR Platform|Manufacturer|EMR Industry|EMR Power|EMR Voltage,CLIMATE,,TRUE
FALSE,Accessories,Indoor-Outdoor-Heating-Cables,Accessories,accessories,,,EMR Platform|Manufacturer|EMR Industry|EMR Product Type,EMR,,TRUE
TRUE,Accessories-And-Miscellaneous,Filter-Tools-And-Parts,Accessories and Miscellaneous,m-accessories-and-miscellaneous,,,,PROTEAM,Accessories and Miscellaneous,TRUE
FALSE,Microfluidic-Products,Fluid-Control-Pneumatics,Microfluidic Products,microfluidic-products,Products - Microfluidic Products | Emerson,Browse Microfluidic  Products,Manufacturer|EMR Actuation|EMR Body Material|EMR Valve Function|EMR Media|EMR Pipe Port Size|EMR Flow Range Cv|EMR Max Operating Pressure Range|EMR Voltage|EMR Frequency|EMR Certifications|EMR Application|EMR Industry,EMR,,TRUE
FALSE,Accessories-MP,Microfluidic-Products,Accessories,accessories-mp,Products - Accessories | Emerson,Browse Accessories,Manufacturer|EMR Actuation|EMR Body Material|EMR Valve Function|EMR Media|EMR Pipe Port Size|EMR Flow Range Cv|EMR Max Operating Pressure Range|EMR Voltage|EMR Frequency|EMR Certifications|EMR Application|EMR Industry,EMR,,TRUE
FALSE,Accessories-Rebuild-Kits,Dust-Collector-Products,Accessories &amp; Rebuild Kits,accessories-rebuild-kits,Products - Accessories &amp; Rebuild Kits | Emerson,Browse Accessories &amp; Rebuild Kits ,Manufacturer|EMR Actuation|EMR Body Material|EMR Valve Function|EMR Media|EMR Pipe Port Size|EMR Flow Range Cv|EMR Max Operating Pressure Range|EMR Voltage|EMR Frequency|EMR Certifications|EMR Application|EMR Industry,EMR,,TRUE
FALSE,Accessories-SP,Fluid-Control-Pneumatics,Accessories,accessories-sp,Products - Accessories | Emerson,Browse Accessories,EMR Industry|EMR Product Series,EMR,,TRUE
FALSE,Accessory-Valves,Controllers-Instruments,Accessory Valves,accessory-valves,Products - Accessory Valves | Emerson,Browse Accessory Valves products,,EMR,,TRUE
FALSE,Accessory-Valves-Actuator-Control,Accessories-SP,Accessory Valves for Actuator Control,accessory-valves-actuator-control,Products - Accessory Valves for Actuator Control | Emerson,Browse Accessory Valves for Actuator Control ,Manufacturer|EMR Accessory Type|EMR Application|EMR Availability|EMR Certifications|EMR Flow Range Cv|EMR Frequency|EMR Function|EMR Industry|EMR Material|EMR Media|EMR Pipe Port Size|EMR Voltage,EMR,,TRUE
FALSE,AC-Contactors,Air-Conditioning-Controls,Contactors,ac-contactors,,,EMR Platform|Manufacturer|EMR Industry|EMR Power|EMR Voltage,CLIMATE,,TRUE
FALSE,Accumulators,Filter-Driers-and-System-Protectors,Accumulators,accumulators,Accumulators,,,CLIMATE,,TRUE
FALSE,AC-Evaporative-Cooling,Air-Conditioning-Controls,Evaporative Cooling,ac-evaporative-cooling,,,EMR Platform|Manufacturer|EMR Industry|EMR Power|EMR Voltage,CLIMATE,,TRUE
FALSE,AC-Expansion-Valves-and-Controls,Air-Conditioning-Controls,Residential Expansion Valves and Controls,ac-expansion-valves-and-controls,,,EMR Platform|Manufacturer|EMR Industry|EMR Power|EMR Voltage,CLIMATE,,TRUE
FALSE,AC-Filter-Driers-and-System-Protectors,Air-Conditioning-Controls,Residential Filter Driers and System Protectors,ac-filter-driers-and-system-protectors,,,EMR Platform|Manufacturer|EMR Industry|EMR Power|EMR Voltage,CLIMATE,,TRUE
FALSE,AC-Heat-Pump-Defrost-and-Blower-Time-Delays,Air-Conditioning-Controls,Heat Pump Defrost and Blower Time Delays,ac-heat-pump-defrost-and-blower-time-delays,,,EMR Platform|Manufacturer|EMR Industry|EMR Power|EMR Voltage,CLIMATE,,TRUE
FALSE,AC-Liquid-Line-Filter,AC-Filter-Driers-and-System-Protectors,Liquid Line Filter,ac-liquid-line-filter,,,EMR Platform|Manufacturer|EMR Industry|EMR Power|EMR Voltage,CLIMATE,,TRUE
FALSE,AC-Moisture Indicators,AC-Filter-Driers-and-System-Protectors,Moisture-Indicators ,ac-moisture-indicators,Air Conditioning Moisture Indicators ,,,CLIMATE,,TRUE
FALSE,AC-Mufflers,AC-Filter-Driers-and-System-Protectors,Mufflers ,ac-mufflers,Air Conditioning Mufflers ,,,CLIMATE,,TRUE
FALSE,AC-Oil-Controls,Air-Conditioning-Controls,Oil Controls,ac-oil-controls,,,EMR Platform|Manufacturer|EMR Industry|EMR Power|EMR Voltage,CLIMATE,,TRUE
FALSE,AC-Pressure-and-Temperature-Controls,Air-Conditioning-Controls,Pressure and Temperature Controls,ac-pressure-and-temperature-controls,,,EMR Platform|Manufacturer|EMR Industry|EMR Power|EMR Voltage,CLIMATE,,TRUE
FALSE,AC-Shut-Off-Valves,Air-Conditioning-Controls,Shut Off Valves,ac-shut-off-valves,,,EMR Platform|Manufacturer|EMR Industry|EMR Power|EMR Voltage,CLIMATE,,TRUE
FALSE,AC-Solenoid-Valves-and-Coils,Air-Conditioning-Controls,Residential Solenoid Valves and Coils,ac-solenoid-valves-and-coils,,,EMR Platform|Manufacturer|EMR Industry|EMR Power|EMR Voltage,CLIMATE,,TRUE
FALSE,AC-Suction-Line-Filter,AC-Filter-Driers-and-System-Protectors,Suction Line Filter,ac-suction-line-filter,,,EMR Platform|Manufacturer|EMR Industry|EMR Power|EMR Voltage,CLIMATE,,TRUE
FALSE,AC-Transformers-and-Relays,Air-Conditioning-Controls,Transformers & Relays,ac-transformers-and-relays,,,EMR Platform|Manufacturer|EMR Industry|EMR Power|EMR Voltage,CLIMATE,,TRUE
FALSE,Actuator Accessories,Actuators,Actuator Accessories,actuator-accessories,Products - Actuator Accessories|Emerson,Browse Actuator Accessories products,Manufacturer|EMR Product Type|EMR Industry|EMR Application|EMR Actuation|EMR Power Source|EMR Control Type|EMR Valve Type|EMR Certifications|EMR Area Classification|EMR Operating Pressure|EMR Operating Temperature,EMR,,TRUE
FALSE,Actuators,Valves-Actuators-Regulators,Actuators,actuator,Products - Actuators | Emerson,Browse Actuators products,Manufacturer|EMR Product Type|EMR Industry|EMR Application|EMR Actuation|EMR Power Source|EMR Control Type|EMR Valve Type|EMR Certifications|EMR Area Classification|EMR Operating Pressure|EMR Operating Temperature,EMR,,TRUE
FALSE,Actuator-Spare-Parts,Actuators,Actuator Spare Parts,actuator-spare-parts,Products - Actuator Spare Parts | Emerson,Browse Actuator Spare Parts,EMR Product Category|EMR Product Type Size|EMR Product Sub Family|EMR Product Type,EMR,,TRUE
FALSE,Advanced-Control,DeltaV-Distributed-Control-System-Process-Industries,Advanced Control,advanced-control,Products - Advanced Control|Emerson,Browse Advanced Control products,,EMR,,TRUE
FALSE,Advanced-Replace-Repair,Maintenance,Advanced Replace Repair,advanced-replace-repair,Maintenance Services - Advanced Replace Repair | Emerson,Browse Advanced Replace Repair Maintenance Lifecycle Services,Manufacturer,EMR,,TRUE
FALSE,Aerospace-and-Defense,Hermetic-Solutions,Aerospace and Defense,aerospace-and-defense,,,EMR Platform|Manufacturer|EMR Industry,CLIMATE,,TRUE
FALSE,Solenoid-Valves,Fluid-Control-Pneumatics,Solenoid Valves,solenoid-valves,Products - Solenoid Valves|Emerson,Browse Solenoid Valves ,Manufacturer|EMR Actuation|EMR Body Material|EMR Valve Function|EMR Media|EMR Pipe Port Size|EMR Flow Range Cv|EMR Max Operating Pressure Range|EMR Voltage|EMR Frequency|EMR Certifications|EMR Application|EMR Industry,EMR,,TRUE
FALSE,Aggressive-Media-Valves,Solenoid-Valves,Aggressive Media Valves,aggressive-media-valves,Products - Aggressive Media Valves | Emerson,Browse Aggressive Media Valves,Manufacturer|EMR Actuation|EMR Body Material|EMR Valve Function|EMR Media|EMR Pipe Port Size|EMR Flow Range Cv|EMR Max Operating Pressure Range|EMR Voltage|EMR Frequency|EMR Certifications|EMR Application|EMR Industry,EMR,,TRUE
TRUE,Agreements-ProTeam-Sales,Literature,Agreements - ProTeam Sales,m-agreements-proteam-sale,,,,PROTEAM,,TRUE
FALSE,Air-Conditioning-and-Refrigeration,Hermetic-Solutions,Air Conditioning and Refriigeration,air-conditioning-and-refrigeration,,,EMR Platform|Manufacturer|EMR Industry,CLIMATE,,TRUE
FALSE,Air-Conditioning-Components,Heating-and-Air-Conditioning,Air Conditioning Components,air-conditioning-components,,,EMR Platform|Manufacturer|EMR Industry|EMR Power|EMR Voltage,CLIMATE,,TRUE
FALSE,Air-Conditioning-Controls,Heating-and-Air-Conditioning,Air Conditioning Controls,air-conditioning-controls,,,EMR Platform|Manufacturer|EMR Industry|EMR Power|EMR Voltage,CLIMATE,,TRUE
FALSE,Air-Particle-Monitors,Flame-Gas-Detection,Air Particle Monitors,air-particle-monitors,Products - Air Particle Monitors | Emerson,Browse Air Particle Monitors products,Manufacturer|EMR Industry|EMR Compatability|EMR Product Type|EMR Item Type|EMR Communication Protocol|,EMR,,TRUE
FALSE,Air-Preparation,Fluid-Control-Pneumatics,Air Preparation,air-preparation,Products - Air Preparation | Emerson,Browse Air Preparation ,EMR Industry|EMR Product Series|EMR Air Preparation Type|EMR Compressed air connection,EMR,,TRUE
FALSE,Air-Pressure-Standards,Metrology,Air Pressure Standards,air-pressure-standards,Metrology - Air Pressure Standards | Emerson,Browse Air Pressure Standards for Metrology,EMR Metrology|Manufacturer|EMR Industry|EMR Product Type,EMR,,TRUE
FALSE,Airsets-Switching-Valves-ci,Controllers-Instruments,Airsets & Switching Valves,airsets-switching-valves-ci,Products - Airsets & Switching Valves|Emerson,Browse Airsets & Switching Valves products,Manufacturer|EMR Product Type|EMR Industry|EMR Application|EMR Communication Protocol|EMR Power Source|EMR Diagnostics|EMR Data Interface|EMR Area Classification|EMR Safety Certification|EMR Certifications|EMR Input Signal|EMR Measurement Type|EMR Position Control|EMR Mounting Type|EMR Supply Media|EMR Operating Temperature|EMR Media|EMR Max Outlet Pressure|EMR Valve Size,EMR,,TRUE
FALSE,Airsets-Switching-Valves-rrv,Regulators-Relief-Valves,Airsets and Switching Valves,airsets-switching-valves-rrv,Products - Airsets and Switching Valves|Emerson,Browse Airsets and Switching Valves products,Manufacturer|EMR Industry|EMR Segment|EMR Application|EMR Certifications|EMR Valve Size|EMR Media|EMR Valve Type|EMR Max Inlet Pressure|EMR Max Outlet Pressure|EMR Operating Temperature|EMR Standards,EMR,,TRUE
FALSE,Alarms,DeltaV-Distributed-Control-System-Process-Industries,Alarms,alarms,Products - Alarms|Emerson,Browse Alarms products,,EMR,,TRUE
FALSE,ams-trex-family,Family-Categories,ams-trex-family,ams-trex-family,,,,EMR,,TRUE
FALSE,Angle-Seat-Pinch-Diaphragm-Valves,Fluid-Control-Pneumatics,"Angle Seat, Pinch &amp; Diaphragm Valves",angle-seat-pinch-diaphragm-valves,"Products - Angle Seat, Pinch &amp; Diaphragm Valves | Emerson","Browse Angle Seat, Pinch &amp; Diaphragm Valves ",Manufacturer|EMR Actuation|EMR Body Material|EMR Valve Function|EMR Media|EMR Pipe Port Size|EMR Flow Range Cv|EMR Max Operating Pressure Range|EMR Voltage|EMR Frequency|EMR Certifications|EMR Application|EMR Industry,EMR,,TRUE
FALSE,Angle-Seat-Valves,Angle-Seat-Pinch-Diaphragm-Valves,Angle Seat Valves,angle-seat-valves,Products - Angle Seat Valves | Emerson,Browse Angle Seat Valves ,Manufacturer|EMR Actuation|EMR Body Material|EMR Valve Function|EMR Media|EMR Pipe Port Size|EMR Flow Range Cv|EMR Max Operating Pressure Range|EMR Voltage|EMR Frequency|EMR Certifications|EMR Application|EMR Industry,EMR,,TRUE
FALSE,Angle-Valves-cv,Control-Valves,Angle Valves,angle-valves-cv,Products - Angle Valves|Emerson,Browse Angle Valves products,Manufacturer|EMR Valve Type|EMR Industry|EMR Application|EMR Material|EMR Critical Service|EMR Pressure Class|EMR Certifications|EMR Valve Size|EMR Process Connection Type|EMR Operating Temperature|EMR Shutoff Class|EMR Flow Characteristics|EMR Valve Size Standard,EMR,,TRUE
FALSE,Angle-Valves-isv,Isolation-Shut-off-Valves,Angle Valves,angle-valves-isv,Products - Angle Valves|Emerson,Browse Angle Valves products,Manufacturer|EMR Valve Type|EMR Industry|EMR Application|EMR Material|EMR Standards|EMR Pressure Class|EMR Certifications|EMR Valve Size|EMR Body Design|EMR Process Connection Type|EMR Operating Temperature|EMR Shutoff Class|EMR Power Source|EMR Stem|EMR Seat Seal Type|EMR Bore|EMR Media|EMR Max Outlet Pressure|EMR Valve Size|EMR Valve Size Standard,EMR,,TRUE
FALSE,Angle-Valves-rrv,Regulators-Relief-Valves,Angle Valves,angle-valves-rrv,Products - Angle Valves|Emerson,Browse Angle Valves products,Manufacturer|EMR Industry|EMR Segment|EMR Application|EMR Certifications|EMR Valve Size|EMR Media|EMR Valve Type|EMR Max Inlet Pressure|EMR Max Outlet Pressure|EMR Operating Temperature|EMR Standards,EMR,,TRUE
FALSE,Application-Specific-Measurement-Systems,Flow,Application Specific Measurement Systems,application-specific-measurement-systems,Products - Application Specific Measurement Systems | Emerson,Browse Application Specific Measurement Systems products,EMR Industry|EMR Instrument Type|EMR Technology Type,EMR,,TRUE
FALSE,Aqueous-Cleaning-Systems,Ultrasonic-Cleaning,Aqueous Cleaning Systems,aqueous-cleaning-systems,Products - Aqueous Cleaning Systems|Emerson,Browse Aqueous Cleaning Systems products,Manufacturer|EMR Industry|EMR Segment|EMR Tank Capacity,EMR,,TRUE
FALSE,Area-Lighting,Lighting,Area Lighting,area-lighting,Products - Area Lighting|Emerson,Browse Area Lighting products,EMR Area Classification|EMR Certifications|EMR Wattage|EMR Lumens|EMR Industry,EMR,,TRUE
FALSE,Aseptic-Diaphragm-Valves,Angle-Seat-Pinch-Diaphragm-Valves,Aseptic Diaphragm Valves,aseptic-diaphragm-valves,Products - Aseptic Diaphragm Valves | Emerson,Browse Aseptic Diaphragm Valves ,Manufacturer|EMR Actuation|EMR Body Material|EMR Valve Function|EMR Media|EMR Pipe Port Size|EMR Flow Range Cv|EMR Max Operating Pressure Range|EMR Voltage|EMR Frequency|EMR Certifications|EMR Application|EMR Industry,EMR,,TRUE
FALSE,ASIA-Commercial-Refrigeration-Rack,Commercial-Refrigeration,Commercial Refrigeration Refrigeration Rack,commercial-refrigeration-refrigeration-rack,Commercial Refrigeration Refrigeration Rack,Compressor rack solutions engineered for efficient operations.,EMR Platform|EMR Application|EMR Industry| EMR Capacity Range,CLIMATE,,TRUE
FALSE,ASIA-Copeland-Hermetic-Reciprocating-Units,Commercial-Condensing-Units,Copeland Hermetic Reciprocating Units,copeland-hermetic-reciprocating-units,Copeland Hermetic Reciprocating Units,,EMR Industry|EMR Capacity Range|EMR Application,CLIMATE,,TRUE
FALSE,ASIA-Copeland-Hermetic-Unit,Commercial-Condensing-Units,Copeland Hermetic Unit,copeland-hermetic-unit,Copeland Hermetic Unit,,EMR Industry|EMR Capacity Range|EMR Application,CLIMATE,,TRUE
FALSE,ASIA-Copeland-Reciprocating-Compressor-for-Residential-Application,Residential-Air-Conditioning,Copeland Reciprocating Compressor for Residential Application,copeland-reciprocating-compressor-for-residential-application,Copeland Reciprocating Compressor for Residential Application,,EMR Platform|Manufacturer|EMR Industry|EMR Product Type|EMR Capacity Range|EMR Application|EMR Voltage|EMR Frequency|EMR Tandem Ready,CLIMATE,,TRUE
FALSE,ASIA-Copeland-Scroll-Condensing-Unit-,Commercial-Condensing-Units,Copeland Scroll Condensing Unit ,copeland-scroll-condensing-unit,Copeland Scroll Condensing Unit ,,EMR Industry|EMR Capacity Range|EMR Application,CLIMATE,,TRUE
FALSE,ASIA-Copeland-Semi-Hermetic-Unit,Commercial-Condensing-Units,Copeland Semi Hermetic Unit,copeland-semi-hermetic-unit,Copeland Semi Hermetic Unit,,EMR Industry|EMR Capacity Range|EMR Application,CLIMATE,,TRUE
FALSE,ASIA-Pool-Heating,Heating-and-Air-Conditioning,Pool Heating,pool-heating,Pool Heating,Heating segments for pool facilities.,EMR Hertz|EMR Voltage|EMR Platform|Manufacturer|EMR Tandem Ready|EMR Sight Glass,CLIMATE,,TRUE
FALSE,ASIA-Pool-Heat-Pumps-System,ASIA-Pool-Heating,Pool Heat Pumps System,pool-heat-pumps-system,Pool Heat Pumps System,,EMR Input Power|EMR Application,CLIMATE,,TRUE
FALSE,ASIA-Residential-Digital,Residential-Modulating-Compressors,Residential Digital,residential-digital,Residential Digital,,EMR EER|EMR Application|EMR Capacity Range|EMR Hertz|EMR Voltage| |EMR Industry|EMR Tandem Ready,CLIMATE,,TRUE
FALSE,ASIA-Sanitary-Heating,Heating-and-Air-Conditioning,Sanitary Heating,sanitary-heating,Sanitary Heating,Providing you safe water temperature for sanitary purposes.,EMR Hertz|EMR Voltage|EMR Platform|Manufacturer|EMR Tandem Ready|EMR Sight Glass,CLIMATE,,TRUE
FALSE,ASIA-Sanitary-Heat-Pumps-System,ASIA-Sanitary-Heating,Sanitary Heat Pumps System,ty,Sanitary Heat Pumps System,,EMR Input Power|EMR Application,CLIMATE,,TRUE
FALSE,ASIA-Space-Heating,Heating-and-Air-Conditioning,Space Heating,space-heating,Space Heating,A heating product that is unmatched in all areas of living.,EMR Hertz|EMR Voltage|EMR Platform|Manufacturer|EMR Tandem Ready |EMR Sight Glass,CLIMATE,,TRUE
FALSE,ASIA-Space-Heating-Scroll-Compressors,ASIA-Space-Heating,Space Heating Scroll Compressors,space-heating-scroll-compressors,Space Heating Scroll Compressors,,EMR Hertz|EMR Voltage|EMR Platform|Manufacturer|EMR Tandem Ready|EMR Sight Glass,CLIMATE,,TRUE
FALSE,Aspirators,Flame-Gas-Detection,Aspirators,aspirators,Products - Aspirators | Emerson,Browse Aspirators products,Manufacturer|EMR Industry|EMR Compatability|EMR Product Type|EMR Item Type|EMR Detected Gas|EMR Communication Protocol|,EMR,,TRUE
FALSE,Asset-Management-Software,Field-Device-Management,Asset Management Software,asset-management-software,Products - Asset Management Software | Emerson,Browse Asset Management Software products,Manufacturer|EMR Industry,EMR,,TRUE
FALSE,Asset-Monitoring,Asset-Reliability,Asset Monitoring,asset-monitoring,Products - Asset Monitoring | Emerson,Browse Asset Monitoring products,Manufacturer|EMR Industry,EMR,,TRUE
FALSE,Asset-Performance,Performance,Asset Performance,asset-performance,Performance Services - Asset Performance Services | Emerson,Browse Asset Performance Performance Lifecycle Services,Manufacturer,EMR,,TRUE
FALSE,Asset-Reliability,Automation-Solutions,Asset Reliability,asset-reliability,Products - Asset Reliability | Emerson,Browse Asset Reliability products,Manufacturer|EMR Industry,EMR,,TRUE
FALSE,audting-services,Services-Consulting,Auditing Services,audting-services,,,,EMR,,TRUE
FALSE,Automatic-Recirculation-Valves,Regulators-Relief-Valves,Automatic Recirculation Valves,automatic-recirculation-valves,Products - Automatic Recirculation Valves,Browse Automatic Recirculation Valves,Manufacturer|EMR Valve Type|EMR Industry|EMR Application|EMR Material|EMR Standards|EMR Pressure Class|EMR Certifications|EMR Valve Size|EMR Body Design|EMR Process Connection Type|EMR Operating Temperature|EMR Shutoff Class|EMR Power Source|EMR Stem|EMR Seat Seal Type|EMR Bore|EMR Media|EMR Max Outlet Pressure|EMR Valve Size|EMR Valve Size Standard,EMR,,TRUE
FALSE,Automation-Components,Ultrasonic-Plastic-Welding,Automation Components,automation-components,Products - Automation Components|Emerson,Browse Automation Components products,Manufacturer|EMR Industry|EMR Segment|EMR Frequency|EMR Output Power,EMR,,TRUE
FALSE,Automotive-Vacs,Vacuum-Equipment,Automotive Vacs,automotive-vacs,,,EMR Platform|Manufacturer|EMR Industry,CLIMATE,,TRUE
FALSE,Back-Check-Valves,Bulk-Storage-Transport-Equipment,Back Check Valves,back-check-valves,Products - Back Check Valves|Emerson,Browse Back Check Valves products,Manufacturer|EMR Industry|EMR Segment|EMR Application|EMR Certifications|EMR Valve Size|EMR Media|EMR Valve Type|EMR Max Inlet Pressure|EMR Max Outlet Pressure|EMR Operating Temperature|EMR Standards,EMR,,TRUE
TRUE,Backpack-Vacuums,Vacuums,Backpack-Vacuums,m-backpack-vacuum,,,,PROTEAM,Backpack-Vacuums,TRUE
FALSE,Back-Pressure-Regulators,Regulators-Relief-Valves,Back Pressure Regulators,back-pressure-regulators,Products - Back Pressure Regulators | Emerson,Back Pressure Regulators,Manufacturer|EMR Product Type |EMR Industry|EMR Application|EMR Material|EMR Operating Temperature,EMR,,TRUE
FALSE,Backup-and-Recovery,Maintenance,Backup and Recovery,backup-and-recovery,Maintenance Services - Backup and Recovery | Emerson,Browse Backup and Recovery Services for Maintenance  Lifecycle Services,Manufacturer,EMR,,TRUE
FALSE,Badger-Disposals,Garbage-Disposals,Badger Disposals,badger-disposals,Badger Garbage Disposals | InSinkErator,InSinkErator's Badger garbage disposals have established the standard for reliability & durability in kitchens all over the world. Explore today!,EMR Power Cord Attached|EMR Horsepower Range|EMR Stages,ISE,,TRUE
FALSE,Ball-Valves,Control-Valves,Ball Valves,ball-valves,Products - Ball Valves|Emerson,Browse Ball Valves products,Manufacturer|EMR Valve Type|EMR Industry|EMR Application|EMR Material|EMR Critical Service|EMR Pressure Class|EMR Certifications|EMR Valve Size|EMR Process Connection Type|EMR Operating Temperature|EMR Shutoff Class|EMR Flow Characteristics|EMR Valve Size Standard,EMR,,TRUE
FALSE,Pneumatic-Valves-Valve-Systems,Fluid-Control-Pneumatics,Pneumatic Valves &amp; Valve Systems,pneumatic-valves-valve-systems,Products - Pneumatic Valves &amp; Valves Systems | Emerson,Browse Pneumatic Valves &amp; Valve Systems ,EMR Industry|EMR Product Series|EMR Activation|EMR Valve Function,EMR,,TRUE
FALSE,Flow-Valves-Block-Valves,Pneumatic-Valves-Valve-Systems,Flow Valves &amp; Block Valves,flow-valves-block-valves,Products - Flow Valves &amp; Block Valves | Emerson,Browse Flow Valves &amp; Block Valves  ,EMR Industry|EMR Product Series|EMR Activation|EMR Valve Function|EMR Return type,EMR,,TRUE
FALSE,Ball-Valves-Shutoff-Valves,Flow-Valves-Block-Valves,Ball Valves &amp; Shutoff Valves,ball-valves-shutoff-valves,Products - Ball Valves &amp; Shutoff Valves | Emerson,Browse Ball Valves &amp; Shutoff Valves ,EMR Industry|EMR Product Series|EMR Version|EMR Housing Material|EMR Compressed air connection type|EMR Compressed air connection|EMR Compressed air connection type 2|EMR Compressed air connection 2,EMR,,TRUE
FALSE,Batch-Control-Operations,DeltaV-Distributed-Control-System-Process-Industries,Batch Control & Operations,batch-control-operations,Products - Batch Control & Operations|Emerson,Browse Batch Control & Operations products,,EMR,,TRUE
FALSE,Bellows-Actuators,Pneumatic-Cylinders-Actuators,Bellows Actuators,bellows-actuators,Products - Bellows Actuators | Emerson,Browse Bellows Actuators ,EMR Industry|EMR Product Series|EMR Bellows|EMR Compressed air connection,EMR,,TRUE
TRUE,Bid-Specs,Literature,Bid Specs,m-bid-specs,,,,PROTEAM,Bid Specs,TRUE
FALSE,Bi-Metal Controls and Limits,Sensing-Solutions,Bi-Metal Controls and Limits,bi-metal-controls-and-limits,,,EMR Platform|Manufacturer|EMR Industry|EMR Measurement Type|EMR Sensor Type|EMR Technology Type,CLIMATE,,TRUE
